"cleaning_chk_det_uuid","cleaning_uuid","cleaning_checklist_uuid","detail_uuid","answer","note","created_by","created_date","modified_by","modified_date","attachment","optional"
"1637e8e0-0cc7-4231-bd1c-ee6931255fb3","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","513aa3a8-cb43-4f09-b2e1-d5a78693678f",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"d6d2ea8a-bbd4-456d-867d-fd005307bec2","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","e16debf6-7d9f-44ca-ae1f-642c02cd3f9d",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"2e71c698-d273-487d-8cbb-63a3215abca4","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","cca6b8e7-9747-452a-baed-3c869d5484ba",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"5534b336-5ae7-4752-84f1-d154a1384da0","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","6c4fdb8a-e48d-4841-972e-00ee7eb15cab",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"b9baf54f-60b4-4d44-b14a-059324d7b7da","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","f55340d2-402c-4526-be18-f4ceed499b08",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"61f8a812-7d58-4f49-90ea-bca3e2d32d60","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","00147fbb-b1ec-403a-b22f-5fbe9b7cba8f",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"9ce3b054-09e8-4f85-869e-844d9bec89b7","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","0985aec3-edf5-4443-b716-1f835a73e005",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"15fb4d4e-27d5-4ff6-9365-0ef222fb7bba","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","934a7a4a-d517-4af4-bf4e-239682a46852",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"c549b1ad-bf65-4231-8872-d99011a16284","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","c799eecb-044a-4395-a10f-f15421ddc493",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"bc803022-7793-4d12-81e2-648b1ab57803","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","ced36192-7f35-41ea-9276-79f41cf65c6c",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"5d9df4be-cff6-48e3-a7fa-91dcd79af76b","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","7675366d-e39e-4b9d-913b-7c3c2d560d11",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
