"cleaning_uuid","additional_task_id","status"
"addbe5f9-b8cf-4dde-adaa-866fd8297705",3,False
"f6aa1f6c-1f31-4c51-a99d-3903e90bd099",3,False
"4d4c38f9-f937-4ea3-a6dc-9a62dda394a8",3,False
"1e8be571-0559-4487-8b40-b1060eb1b08c",3,False
"ba7af819-a712-4bd6-8a43-b0a191e9f086",3,False
"9151f3b0-f02c-4aea-974b-c22cfed6d6d4",3,False
"2e018905-e1c7-4059-b8f0-a7944ee73799",3,False
"9d6bc4fd-9682-4eb4-9046-37e368f8c5c9",3,False
"ce892715-e971-4d5c-b1b8-c7376fd33c38",3,False
"930382cb-291c-455f-b18a-62094ab82882",3,False
"46b3c5a5-e74e-466c-9bfa-447a9adeae1b",3,False
"222824aa-5c6f-4ca3-9524-9b96bb651530",3,False
"8f5c0335-1f1b-48b8-874f-9904101dcf69",3,False
"fd768c1d-9142-4515-bf70-c4c34bbbd26d",3,False
"342509a7-2258-4854-b4e4-2811a3d74257",3,False
"b173efee-fd15-4274-96ed-2beb05b2ae78",3,False
"ee915d36-3a52-42cd-8437-270e6e5a4633",3,False
"d03e3943-58b0-4b85-9fc5-39589277d1d6",3,False
"40141264-fdbe-44b0-9cd0-c2dfbc599e23",3,False
"1a77faa4-65f9-4073-b959-f649a1f1b866",3,False
"d5d20c70-b742-4626-b579-0125f378c79c",3,False
"eef35627-782a-461b-b1dd-98a807c849be",3,False
"9fe74ec9-7953-4338-bb17-157f9c1dc01c",3,False
"adc7d230-2488-468d-ada6-05b082739c84",3,False
"02d57762-3e14-4da6-8bea-304ab1bb37dd",3,False
"5093d52d-b56a-4db4-9d2c-cb182e15e056",3,False
"ad1dfa03-8e56-4078-bb63-a85fcb0ffd90",3,False
"fecec89c-c32d-4961-9350-29b74077909d",3,False
"78e4b34b-9176-435c-903e-30fa96ca02b5",3,False
"bdb5f7c5-b06a-4b00-98f8-f0b10118ff35",3,False
"44d57ae2-8813-4846-9a9f-fd869f98672d",3,False
"f2a47942-ad0d-47de-bd69-2e592e7d4f46",3,False
"5b30ce33-cb78-4bdf-b55c-7f8cc62e64a6",3,False
"bd83f82a-d6f8-4775-ae5b-e18690ee59ec",3,False
"14e6578e-9ccb-48a1-8348-dc70e4c23744",3,False
"26a0cea3-5914-466a-8234-a466849b9b54",3,False
"858a9fe1-7773-47d2-9d5d-143132125897",3,False
"883696e2-c6a1-4179-a317-7c20d7507c7a",3,False
"bba289b5-9115-4658-a05e-bb06ff098129",3,False
"afedc547-a0c6-4936-80e6-d87cebef6559",3,False
"2856b5b1-16ff-4008-9be0-a18b721e4199",3,False
"f31955d7-2b94-4ee4-9905-49eda9891c90",3,False
"71c9f3c2-2d1b-4b0c-9813-39126f64e283",3,False
"316d2ff4-2e8d-42a2-9f74-881df75141b0",3,False
"ae30e1a2-2241-4cbd-99a0-d55e07f4e206",3,False
"b24bb1d6-bf80-4156-b77f-2f603b9716fd",3,False
"808ebfdc-227e-47e6-bdb4-b8c11de431bf",3,False
"c9b6db77-7286-4a41-82aa-611a8ec21d17",3,False
"670aa6e6-13d0-4215-af2e-12b1d20b0837",3,False
"8f5ad673-3fa5-4420-8a5d-517162d831d6",3,False
"beaf5ad9-9294-43bc-9282-a72e2e34c98b",3,False
"865b3aaa-9421-4885-9ee3-442887d50c5c",3,False
"73ec6633-4778-4c5e-8fd7-ac4787d4512f",3,False
"8b1611a6-691a-4c60-9a55-15cb3d3a8a19",3,False
"b59edb21-292d-4469-9e7e-d8f77cbbde48",3,False
"e07a9d03-baca-4e4b-9f4e-674124939bf2",3,False
"3a602f8c-28e0-4e8b-afc7-6f88006813f9",3,False
"e3688c48-43fa-425d-a985-57181e943f63",2,False
"17e91a65-d5b3-4c07-a77e-885bddce2c2a",2,False
"b1f9b2cc-8dc9-4569-86dd-6a370440ebc6",2,False
"c498061d-cfeb-4430-bd08-a419fa75a7d0",2,False
"9e121228-fd4c-4574-93ec-07f95c422c41",3,False
"4cf66c98-d430-4ad6-85ab-37d0b1aa70c1",3,False
"01ccc725-533c-4389-af9b-e09ec3548b8f",3,False
"1f0dd71c-7357-465a-99f2-325934ec7f2f",3,False
"5b1a151d-0d18-4dc5-a50f-23823924eb1f",3,False
"25f66b4b-60fa-4565-b8b7-556dde0763ab",3,False
"220e17ce-7089-48dd-bd8d-470705113176",3,False
"7b8631e6-5de2-4335-b5ca-d7079ce2d42a",3,False
"c7d81a1d-9057-44bc-b8ef-4f0576939538",3,False
"37724f5f-41b1-4e5a-9f0c-b5892f8157f8",3,False
"a8f6cb82-9477-4727-aff7-d14d5840aa48",3,False
"624f146c-f100-4518-9115-f611eaadb499",3,False
"ef409b85-e5d9-47c4-8973-fd8c1ec78b09",3,False
"141be76f-2580-4097-8908-e4815a8a5a90",3,False
"85d8ffb9-549f-4668-86c8-4029ad4882b8",3,False
"9434bef4-3074-4dbb-b64a-fb577aac8dd9",3,False
"2f770453-661b-4cf6-a2bf-1cea6be9cc9b",3,False
"2b3b4592-d5cd-46be-9ffe-98e007507b28",3,False
"e1125199-b390-495e-aec3-c396c6ea8f5f",3,False
"ce82e44f-7f90-4e7f-8300-3104cce16db7",3,False
"b77e87c3-f1a2-4f0a-a23f-57ac2e4b171e",3,False
"35513b8d-dc86-4f80-abae-987cd08a9ff0",3,False
"87542540-71b5-4c0a-8c47-4abbcdf81a30",3,False
"8f372769-2556-4678-a997-9c1a0986ece8",3,False
"99b59b84-16c5-43bb-948f-bdca95aea046",3,False
"fd8bab3d-ce90-4281-8a2c-cc15d4531a09",3,False
"0f9fa2ed-3809-4c85-bf51-e80ae35708b2",3,False
"efb87698-8831-4ce6-a611-53ba6f01c4eb",3,False
"47843f2d-1adc-4402-97bb-f85b3a600e9a",3,False
"ee644869-0373-46ee-acfe-9816ca201115",3,False
"a6a2dc9a-eae3-413a-a165-bc34fb7f0af3",3,False
"d5f4e3b6-35ae-4d7b-b09b-c6a74a1122b1",3,False
"3f8713a8-fe98-4849-8ebd-3d5eb8e07257",3,False
"330af7bd-c224-4053-917b-8e951a9962f0",3,False
"c6807890-2f30-4fa8-bb5c-61467b6fe035",3,False
"4c2cdfb9-2de9-4574-b227-854fb1851146",3,False
"8bef1457-32c3-4b46-8fed-03970db42c36",3,False
"e225e06d-4926-42e6-9612-c5434452dd5f",3,False
"a043e02d-b9cd-469a-ba03-55ee4d4f5ee8",3,False
"9d8f41f3-2c0d-4c1d-a9cb-dfe6685f2a47",2,False
"558f8fa6-677c-42d8-9363-4ec31ebc9d51",2,False
"6a20a141-5720-4466-a1b5-702352e7260f",2,False
"1d9d89f9-44c6-44ad-b55c-05295aeaa21d",2,False
"eea15741-e477-4d06-855a-d70e5f4aeb8c",2,False
"15d983fb-e133-4258-8afb-124e45ee98a5",2,False
"e6190b63-e9bc-478e-ac2c-9f5f5f5bed1d",2,False
"07edda95-f386-440e-a66c-6bc0b51e60e7",2,False
"dd4cb3db-d17e-49d5-9fab-cbfc00b3b96e",2,False
"f77a7059-f95d-4196-a8cf-7ecba8e57e40",2,False
"c836fbc6-7a37-4617-8fd8-b36fcf71fd34",2,False
"bed65284-ece3-4056-bde4-1b99436e7caa",2,False
"40d57a57-0284-426d-a4dd-f1851d871410",2,False
"9d6d213a-e9ef-4118-ae5e-53bf1b87a456",2,False
"aedbacb6-fa29-4b13-b0c9-ea166fa6003f",2,False
"55526a48-0be0-412c-a1eb-7cbd9f75c9b8",2,False
"0e370fb5-95d5-4bfc-99fb-22fef8d13115",2,False
"471134a4-e0ad-4eac-b21c-280ad6bcb3f0",2,False
"f439f702-d9dc-43de-9438-d2bc46039ede",3,False
"4966d3e1-165a-491f-be2a-88f64dee8ab7",3,False
"d794cd0e-22cd-4f33-843b-a8247fd7d372",3,False
"e9d6fe7b-e40f-4328-98c5-391730d0bec0",3,False
"34d4d81b-f827-40e7-9631-fd522283642b",3,False
"52cf2873-9c49-4c47-9811-058e4c9ddc02",3,False
"d10b5237-5099-4857-af31-5c2e692261e4",3,False
"d54da170-7a20-4392-be5e-085a819b330e",3,False
"cbf50685-4f72-4e95-8c74-963dcf052128",3,False
"4d0101b8-5f9d-47bb-98a4-97efa40fda68",3,False
"c95fc3e1-0ee4-407c-9f53-39254d455d22",3,False
"436c9838-087c-472d-b20d-cfebe4c8748e",3,False
"a7859559-5ef2-4c18-b9c6-dc3c670f7d88",3,False
"6edb3bc0-35bd-4fcf-a273-74104cbd86b2",3,False
"29184118-982f-44c0-8b8c-a876c1366165",3,False
"da351cd3-6832-41df-be8d-9023bf71243b",3,False
"3e5b2861-45b3-4bf1-903d-fe523ffd88f0",3,False
"0ac6db7b-4806-47c2-a13f-1c755e0ce64a",3,False
"8ce362b3-2d03-42af-8efa-32c3fb74de56",3,False
"671e3b6f-3d79-461c-9c2b-96e0371a3010",3,False
"9e1f0c0c-4303-478d-8bbd-3d52f569589c",3,False
"94864df2-a1fb-4e8b-b43a-3feed63253c0",3,False
"b1cfa147-d543-491e-9885-99edacf9afd7",3,False
"8adefd8f-819c-47d6-b968-8b9061582163",3,False
"5f34704b-5b9d-49cd-946e-6d619599a5cf",3,False
"3ffa5507-82a2-4574-bbbd-909d1d30dd45",3,False
"bc705e27-1fb3-4139-88cf-b2c7f82eba57",3,False
"8738942e-e9fc-42a9-a795-9e4e4ab3cff7",3,False
"8428a54d-8739-4b02-ac2e-80f795997879",3,False
"d778ca71-981a-4f6b-a0c8-52a5d310b759",3,False
"fdec84ae-94dd-4e55-b6a5-294b57363e88",3,False
"9e6d02a9-85af-4c9b-afe4-97a138a02088",3,False
"027a59e5-6cad-4471-90e8-4c3177e57fdd",3,False
"ac95b711-c306-4d5a-990f-25388463b6b9",3,False
"253afc40-5fcb-4f93-bb2f-21cad932b3df",3,False
"bb936738-fa7d-4b9c-a156-009cd93ca084",3,False
"e37c68d9-7c0a-444a-8fef-6f3f2f4c8d92",3,False
"c94b999d-5926-4324-9eaa-d02aa49343c8",3,False
"adda3000-21dd-4eb1-9f17-f231747983ba",3,False
"9d708c81-0553-44ed-9c76-47f93b935fc3",3,False
"513a7ab3-4d66-4a37-a267-e149d399f576",3,False
"67779fa1-69e7-4783-8653-6832dbf428e2",3,False
"5a8e69cd-2b88-4a96-811e-404d5d0488e8",3,False
"a52e0d7e-fac1-4511-b4fd-c804f230f0e5",3,False
"e50f0116-add5-4942-808c-a1e589a1775a",3,False
"219f589a-910e-4f6b-b443-6f3ca6a89501",3,False
"06b40ebe-4ff3-4671-878b-5ff26cf9aac6",3,False
"95b1aeb3-95f6-4e30-8013-e09123174417",3,False
"2814fad2-8990-455f-a2d0-31e3f69e72df",3,False
"25f777a2-440a-491e-8187-8f8d3a105adb",3,False
"ab762049-358d-44f8-9ffb-7b42c827bbb3",3,False
"2a1d1729-7954-42aa-8a73-7f3e609aa325",3,False
"5e45a632-6f5e-4577-b100-7db3df174334",3,False
"e62490d6-42da-4848-82ae-15e930591999",3,False
"421b10bf-d61c-4c20-9a08-8b13691f435a",3,False
"05d77e52-947c-43e0-a17d-e3f3491ecd92",3,False
"fe492499-5553-4d19-a615-3d20fffd1ced",3,False
"bc7a9483-e6fc-4206-93e3-39f40a3a225d",3,False
"87e04692-d7b3-479f-b530-951db0b02f78",3,False
"64a00a5c-ed2c-4654-8e80-cd0a0b49f4c3",3,False
"b4020832-30b3-44e6-a0c5-688a89f3ee91",3,False
"42116d84-aea7-4ad3-ab48-8da71cdfbb74",3,False
"8d9e9421-c999-4b35-bce5-f39e31d62ac7",3,False
